Star,[Fe/H],[TiI/Fe],[CaI/Fe],[MgI/Fe],[CuI/Fe],[Al/Mg],[BaII/Fe],[ZnI/Fe],[CeII/Fe],[Mg/Ti],[Y/Ba],[Y/Zn],Teff,logg,vtur,Age,pop,log_S_N
HD22879,-0.82,0.28,0.27,0.36,-0.14,-0.15999999999999998,-0.03,0.09,-0.01,0.07999999999999996,0.09,-0.03,5884,4.52,1.2,12.702,thick,3.0958664534785427
HD22897,-0.2,0.12,0.03,-0.09,-0.04,0.009999999999999995,0.08,-0.12,0.09,-0.21,-0.009999999999999995,0.19,4701,4.32,0.02,5.305,thin,1.6720978579357175
HD22918,-0.01,0.19,0.07,0.15,0.13,0.09,-0.04,0.05,0.22,-0.04000000000000001,0,-0.09,4866,3.5,0.71,9.039,high,1.968482948553935
HD23030,0.2,0.03,-0.02,0.04,0.04,-0.07,-0.18,0.03,-0.08,0.010000000000000002,0.09999999999999999,-0.11,5951,4.37,1.22,4.273,thin,1.7481880270062005
HD23079,-0.12,0.03,0.07,0.01,-0.09,-0.03,0.03,-0.05,0.01,-0.019999999999999997,-0.04,0.04,5980,4.48,1.12,4.108,thin,3.0515383905153275
HD23249,0.07,0.07,-0.01,0.09,0.18,0.03,-0.08,0.01,0.09,0.01999999999999999,0.09,0,5027,3.66,0.93,6.859,high,3.307923703611882
HD23356,-0.15,0.1,-0.01,0.01,0.01,0.04,0.02,-0.06,0.1,-0.09000000000000001,0.009999999999999998,0.09,4919,4.45,0.52,5.785,thin,2.846955325019824
HD23456,-0.32,0.06,0.09,0.04,-0.07,-0.07,0.02,-0.07,0.03,-0.019999999999999997,-0.1,-0.009999999999999995,6178,4.56,1.38,4.983,thin,2.8407332346118066
HD23472,-0.19,0.06,-0.04,0.06,0.06,0.06,-0.06,-0.06,-0.03,0,0.019999999999999997,0.019999999999999997,4683,4.32,0.19,6.219,thin,2.0755469613925306
HD23901,-0.4,0.32,0.17,0.25,0.11,0.09000000000000002,-0.12,0.2,-0.03,-0.07,0.07999999999999999,-0.24000000000000002,5264,3.93,0.84,12.255,thick,2.287801729930226
HD24062,0.28,0.04,0.02,-0.07,-0.01,-0.25,-0.01,-0.13,0.01,-0.11000000000000001,0.04,0.16,6107,4.62,1.34,2.428,thin,2.041392685158225
